"Fecha";"Tmax"
2015-05-21;29.6
2015-05-22;30.5
2015-05-23;31.1
2015-05-24;26.6
2015-05-25;30.1
2015-05-26;32.7
2015-05-27;35.4
2015-05-28;35.7
2015-05-29;32.8
2015-05-30;32.8
2015-05-31;34.8
2015-06-01;35.4
2015-06-02;36.9
2015-06-03;36.1
2015-06-04;35.9
2015-06-05;37.2
2015-06-06;38.7
2015-06-07;37
2015-06-08;37.1
2015-06-09;36.2
2015-06-10;33.9
2015-06-11;26.2
2015-06-12;27.9
2015-06-13;26.3
2015-06-14;25.6
2015-06-15;25.9
2015-06-16;29.8
2015-06-17;34.6
2015-06-18;35.4
2015-06-19;37.2
2015-06-20;39.8
2015-06-21;38.9
2015-06-22;34.5
2015-06-23;35
2015-06-24;35.1
2015-06-25;37.6
2015-06-26;40
2015-06-27;41.8
2015-06-28;43.8
2015-06-29;43.4
2015-06-30;37.7
2015-07-01;38.6
2015-07-02;39.2
2015-07-03;39.8
2015-07-04;41.1
2015-07-05;41.7
2015-07-06;45.1
2015-07-07;44.6
2015-07-08;43.7
2015-07-09;41.4
2015-07-10;38.4
2015-07-11;40.9
2015-07-12;42.0577157676823
2015-07-13;42.7
2015-07-14;42.3
2015-07-15;43.1
2015-07-16;43.8
2015-07-17;43.0075093755467
2015-07-18;41.0885759657766
2015-07-19;40.3
2015-07-20;41.8
2015-07-21;41.5
2015-07-22;41.2
2015-07-23;41.8
2015-07-24;39.6
2015-07-25;39.4
2015-07-26;40.7
2015-07-27;42.2
2015-07-28;44
2015-07-29;41.8
2015-07-30;38.9
2015-07-31;36.3
2015-08-01;39.2
2015-08-02;39.8727468327392
2015-08-03;40.3
2015-08-04;39.2
2015-08-05;41.3
2015-08-06;41.5
2015-08-07;40.9
2015-08-08;33.1
2015-08-09;32.1
2015-08-10;40.8
2015-08-11;37.3
2015-08-12;39.7
2015-08-13;34.8
2015-08-14;33.6
2015-08-15;33.9
2015-08-16;33.8
2015-08-17;35.3
2015-08-18;36.9
2015-08-19;37.6
2015-08-20;39.1
2015-08-21;38.5
2015-08-22;33.1
2015-08-23;30.8
2015-08-24;30.7
2015-08-25;36.1
2015-08-26;37.1
2015-08-27;38.5
2015-08-28;40.9
2015-08-29;40.9
2015-08-30;38
2015-08-31;32.8
2015-09-01;34.4
2015-09-02;31
2015-09-03;28.7
2015-09-04;30
2015-09-05;27
2015-09-06;32.2
2015-09-07;28.1
2015-09-08;32.6
2015-09-09;33.9
2015-09-10;34.7
2015-09-11;33.4
2015-09-12;30.5
2015-09-13;29.5
2015-09-14;29.4
2015-09-15;27.8
2015-09-16;24
2015-09-17;26.8
2015-09-18;31.4
2015-09-19;33.1
2015-09-20;33.3
2015-09-21;33.6
2015-09-22;33.8
2015-09-23;33.3
2015-09-24;32.3
2015-09-25;33.2
2015-09-26;34.1
2015-09-27;34
2015-09-28;31.6
2015-09-29;27.7
2015-09-30;29.2
2015-10-01;30.5759335007724
2015-10-02;31.7
2015-10-03;28.1
2015-10-04;28.5
2015-10-05;28.1185686073354
2015-10-06;27.5673618138956
2015-10-07;27
2015-10-08;26.3993207657209
2015-10-09;25.7
2015-10-10;24.4
2015-10-11;23.1
2015-10-12;23.2
2015-10-13;25.3
2015-10-14;25.6
2015-10-15;27.3
2015-10-16;27.8
2015-10-17;26.9
2015-10-18;22.5
2015-10-19;22.2549537262935
2015-10-20;22.0251645595594
2015-10-21;21.8124560207144
2015-10-22;21.618954283234
2015-10-23;21.447153680894
2015-10-24;21.3
2015-10-25;25.1
2015-10-26;21.7
2015-10-27;21.5024430203876
2015-10-28;21.3128130220751
2015-10-29;21.1328844268111
2015-10-30;20.9650039544146
2015-10-31;20.8123415848904
2015-11-01;20.6792862774157
2015-11-02;20.5720942200095
2015-11-03;20.5
2015-11-04;22.4
2015-11-05;24.45
2015-11-06;26.5
2015-11-07;27.5
2015-11-08;27.7
2015-11-09;26.5
2015-11-10;26.3
2015-11-11;25.4
2015-11-12;24.8274636236225
2015-11-13;24.35
2015-11-14;23.8510063031244
2015-11-15;23.3
2015-11-16;22.7
2015-11-17;22.95
2015-11-18;23.2
2015-11-19;22.9
2015-11-20;24.3
2015-11-21;19
2015-11-22;14.6
2015-11-23;15.5917482355153
2015-11-24;16.7
2015-11-25;17.8322360927727
2015-11-26;19.1
2015-11-27;21.1
2015-11-28;20.9
2015-11-29;21
2015-11-30;21.1861748324299
2015-12-01;21.5047161599591
2015-12-02;21.9
2015-12-03;22.3050269138744
2015-12-04;22.6383573821786
2015-12-05;22.8
2015-12-06;20.7
2015-12-07;16.2
2015-12-08;17.8
2015-12-09;18.5263803557278
2015-12-10;19.1402567644651
2015-12-11;19.575253797984
2015-12-12;19.7
2015-12-13;19.05
2015-12-14;18.4
2015-12-15;21.7
2015-12-16;22
2015-12-17;22.1720543769887
2015-12-18;22.3025952457469
2015-12-19;22.4
2015-12-20;22.1266768430091
2015-12-21;21.637559992711
2015-12-22;21.1
2015-12-23;19.5
2015-12-24;17.9
2015-12-25;19.8
2015-12-26;20
2015-12-27;18.9
2015-12-28;17.7
2015-12-29;18.9
2015-12-30;18.4772807685563
2015-12-31;17.8967954249303
2016-01-01;17.3
2016-01-02;16.5432826921922
2016-01-03;15.5034488736147
2016-01-04;14.2628296439801
2016-01-05;13.0275232912776
2016-01-06;12.5
2016-01-07;15.1
2016-01-08;17.3
2016-01-09;17
2016-01-10;16.3
2016-01-11;14.5
2016-01-12;15.5
2016-01-13;16.7
2016-01-14;13.2
2016-01-15;13.2451619478555
2016-01-16;13.291450250486
2016-01-17;13.3392591957861
2016-01-18;13.3891914128068
2016-01-19;13.4422164256253
2016-01-20;13.5
2016-01-21;15.1
2016-01-22;20.2
2016-01-23;22.7
2016-01-24;22
2016-01-25;18.9
2016-01-26;17.4
2016-01-27;18.9
2016-01-28;13.9
2016-01-29;17.5
2016-01-30;17.5
2016-01-31;17.2
2016-02-01;23.4
2016-02-02;21.5
2016-02-03;22.4
2016-02-04;22.8543345316076
2016-02-05;22.7703026475882
2016-02-06;22.243310127581
2016-02-07;21.3646708438139
2016-02-08;20.2218238087305
2016-02-09;18.8985365521765
2016-02-10;17.475095822226
2016-02-11;16.028486521963
2016-02-12;14.6325597202599
2016-02-13;13.358190507052
2016-02-14;12.2734264021296
2016-02-15;11.443626970455
2016-02-16;10.9315952459261
2016-02-17;10.797701518877
2016-02-18;11.1
2016-02-19;17.1
2016-02-20;18.5
2016-02-21;21.5
2016-02-22;21.6
2016-02-23;19
2016-02-24;14.4
2016-02-25;16.7
2016-02-26;12.8
2016-02-27;11.7
2016-02-28;13.6
2016-02-29;18.9
2016-03-01;20.4
2016-03-02;20.9
2016-03-03;20.2
2016-03-04;19.5
2016-03-05;16
2016-03-06;16.2
2016-03-07;12.7
2016-03-08;16.2
2016-03-09;15.8
2016-03-10;16.6
2016-03-11;17.3
2016-03-12;19.8
2016-03-13;21.2
2016-03-14;19.7
2016-03-15;18.5
2016-03-16;20
2016-03-17;19.8
2016-03-18;18.9
2016-03-19;18.4
2016-03-20;17.6
2016-03-21;16.9
2016-03-22;16.8
2016-03-23;17
2016-03-24;21.6
2016-03-25;21.2
2016-03-26;18.2
2016-03-27;21.4
2016-03-28;21.1
